data_date,individuals
12/23/13,2316329
12/24/13,2317670
12/25/13,2318918
12/26/13,2321905
12/27/13,2323358
12/29/13,2326444
12/30/13,2328277
12/31/13,2336190
1/1/14,2336055
1/2/14,2337682
1/3/14,2338286
1/5/14,2343715
1/6/14,2347957
1/7/14,2349679
1/8/14,2352293
1/9/14,2355028
1/10/14,2358839
1/12/14,2360822
1/13/14,2361271
1/14/14,2365618
1/15/14,2375370
1/16/14,2378317
1/18/14,2380495
1/19/14,2386213
1/20/14,2392650
1/21/14,2395087
1/22/14,2401985
1/23/14,2406688
1/24/14,2408667
1/26/14,2411971
1/27/14,2417323
1/28/14,2419867
1/29/14,2422920
1/30/14,2425211
1/31/14,2426659
2/2/14,2440362
2/3/14,2444117
2/4/14,2445654
2/5/14,2454965
2/6/14,2461979
2/7/14,2463680
2/9/14,2472480
2/10/14,2476792
2/11/14,2478839
2/12/14,2481234
2/13/14,2456969
2/14/14,2459105
2/16/14,2468406
2/17/14,2467767
2/18/14,2472309
2/19/14,2474467
2/20/14,2477668
2/21/14,2479634
2/23/14,2489761
2/24/14,2491444
2/25/14,2492775
2/26/14,2496967
2/27/14,2498811
2/28/14,2505734
3/2/14,2505834
3/3/14,2511104
3/4/14,2514213
3/5/14,2522156
3/6/14,2524141
3/7/14,2526377
3/9/14,2538582
3/10/14,2541072
3/11/14,2544187
3/12/14,2546472
3/13/14,2547665
3/15/14,2549199
3/16/14,2557184
3/17/14,2558877
3/18/14,2560972
3/19/14,2564018
3/20/14,2566572
3/22/14,2568024
3/23/14,2570563
3/24/14,2574083
3/25/14,2576782
3/26/14,2578985
3/27/14,2582051
3/28/14,2583931
3/30/14,2601667
3/31/14,2603408
4/1/14,2606094
4/2/14,2608778
4/3/14,2611422
4/5/14,2626622
4/6/14,2626051
4/7/14,2631400
4/8/14,2633732
4/9/14,2635985
4/10/14,2637225
4/12/14,2640090
4/13/14,2673882
4/14/14,2676241
4/15/14,2681515
4/16/14,2683182
4/17/14,2685696
4/20/14,2688447
4/21/14,2688356
4/22/14,2691266
4/23/14,2690858
4/24/14,2690677
4/25/14,2698646
4/26/14,2704943
4/27/14,2705055
4/28/14,2709350
4/29/14,2714979
4/30/14,2733950
5/1/14,2733704
5/2/14,2736718
5/4/14,2736124
5/5/14,2739431
5/6/14,2742401
5/7/14,2744781
5/8/14,2746939
5/10/14,2748759
5/11/14,2755289
5/12/14,2755486
5/13/14,2758354
5/14/14,2760835
5/15/14,2764324
5/17/14,2766896
5/18/14,2766896
5/19/14,2774989
5/20/14,2779974
5/21/14,2782998
5/22/14,2782847
5/25/14,2796752
5/26/14,2796663
5/27/14,2806451
5/28/14,2806519
5/29/14,2810848
5/30/14,2814244
5/31/14,2809660
6/1/14,2814017
6/2/14,2815693
6/3/14,2816361
6/4/14,2811057
6/5/14,2814243
6/7/14,2814777
6/8/14,2826860
6/9/14,2828532
6/10/14,2830021
6/11/14,2831799
6/12/14,2833246
6/13/14,2834542
6/15/14,2843513
6/16/14,2845212
6/17/14,2846673
6/18/14,2848364
6/19/14,2849301
6/21/14,2849953
6/22/14,2856445
6/23/14,2858274
6/24/14,2860062
6/25/14,2860127
6/26/14,2865776
6/28/14,2867859
6/29/14,2873663
6/30/14,2871006
7/1/14,2877436
7/2/14,2877638
7/3/14,2878238
7/5/14,2880507
7/6/14,2883960
7/7/14,2883827
7/8/14,2884059
7/9/14,2886221
7/10/14,2887692
7/12/14,2887910
7/13/14,2893843
7/14/14,2895861
7/15/14,2892889
7/16/14,2892491
7/17/14,2894548
7/19/14,2895724
7/20/14,2900526
7/21/14,2902264
7/22/14,2903864
7/23/14,2905108
7/24/14,2907834
7/26/14,2906146
7/27/14,2906524
7/29/14,2912212
7/30/14,2913491
7/31/14,2917380
8/1/14,2918499
8/3/14,2918426
8/4/14,2920834
8/5/14,2922310
8/6/14,2924031
8/7/14,2924947
8/8/14,2925757
8/10/14,2933774
8/11/14,2936821
8/12/14,2938196
8/13/14,2937746
8/14/14,2941624
8/15/14,2943485
8/17/14,2945909
8/18/14,2948819
8/19/14,2950790
8/20/14,2953502
8/21/14,2957779
8/22/14,2966072
8/24/14,2966123
8/25/14,2969024
8/26/14,2970258
8/27/14,2971996
8/28/14,2973924
8/29/14,2975391
8/31/14,2975510
9/1/14,2975554
9/2/14,2983183
9/3/14,2984610
9/4/14,2984840
9/7/14,2989199
9/8/14,2989609
9/9/14,2989453
9/10/14,2989229
9/11/14,2997693
9/14/14,3001458
9/15/14,3002548
9/16/14,3002583
9/17/14,3004197
9/18/14,3007672
9/19/14,3008300
9/21/14,3008319
9/22/14,3008993
9/23/14,3009442
9/24/14,3009904
9/25/14,3010058
9/26/14,3010116
9/28/14,3010168
9/29/14,3186886
9/30/14,3166565
10/1/14,3166325
10/2/14,3190013
10/3/14,3189782
10/7/14,3189221
10/8/14,3189058
10/9/14,3181619
10/11/14,3180252
10/12/14,3180324
10/13/14,3180183
10/14/14,3179919
10/15/14,3182410
10/16/14,3181046
10/17/14,3179184
10/20/14,3177062
10/21/14,3180069
10/22/14,3180277
10/27/14,3180394
10/28/14,3179552
10/30/14,3178335
10/31/14,3211882
11/2/14,3211708
11/3/14,3212087
11/4/14,3212157
11/5/14,3212669
11/6/14,3213072
11/7/14,3214133
11/9/14,3214250
11/10/14,3214276
11/11/14,3216188
11/12/14,3217259
11/13/14,3219035
11/14/14,3220245
11/15/14,3223502
11/17/14,3224950
11/18/14,3226051
11/19/14,3226218
11/20/14,3226413
11/21/14,3228556
11/23/14,3228799
11/25/14,3227386
11/26/14,3224551
11/27/14,3225134
11/28/14,3225413
11/30/14,3294286
12/1/14,3294011
12/2/14,3291978
12/3/14,3292830
12/4/14,3293191
12/5/14,3294419
12/7/14,3296245
12/8/14,3296996
12/9/14,3297555
12/10/14,3298266
12/11/14,3299246
12/12/14,3299745
12/15/14,3304231
12/16/14,3304688
12/17/14,3305720
12/18/14,3307404
12/21/14,3307404
12/22/14,3309371
12/23/14,3310116
12/24/14,3310556
12/26/14,3310808
12/28/14,3310808
12/29/14,3314621
12/30/14,3314963
12/31/14,3775228
1/2/15,3775629
1/4/15,3776102
1/5/15,3775436
1/6/15,3775922
1/7/15,3775832
1/8/15,3776220
1/12/15,3774725
1/13/15,3774738
1/14/15,3774665
1/15/15,3776829
1/18/15,3776947
1/19/15,3776922
1/20/15,3776587
1/21/15,3776715
1/22/15,3782054
1/26/15,3782199
1/29/15,3782953
1/30/15,3783501
1/31/15,3786584
2/2/15,3786967
2/3/15,3788276
2/4/15,3789276
2/5/15,3787041
2/6/15,3786074
2/8/15,3783283
2/9/15,3784120
2/10/15,3784979
2/11/15,3785258
2/12/15,3785619
2/13/15,3786396
2/15/15,3787229
2/16/15,3794184
2/17/15,3795075
2/18/15,3795536
2/19/15,3796362
2/20/15,3797123
2/22/15,3797597
2/23/15,3798636
2/24/15,3799426
2/25/15,3799584
2/26/15,3800953
2/27/15,3801709
2/28/15,3804309
3/1/15,3804770
3/2/15,3805415
3/3/15,3806034
3/4/15,3807005
3/5/15,3807904
3/6/15,3884226
3/7/15,3884226
3/8/15,3884414
3/9/15,3885183
3/10/15,3886420
3/11/15,3886527
3/12/15,3887957
3/13/15,3908417
3/15/15,3911051
3/16/15,3912068
3/17/15,3910256
3/18/15,3910964
3/20/15,3932393
3/22/15,3933044
3/23/15,3933750
3/24/15,3933828
3/25/15,3934779
3/26/15,3936350
3/27/15,3936592
3/30/15,3936841
3/31/15,3941085
4/1/15,3941701
4/2/15,3942286
4/3/15,3942792
4/7/15,3943940
4/8/15,3945680
4/9/15,3946233
4/10/15,3963215
4/14/15,3963458
4/30/15,3964912
5/4/15,3965212
5/5/15,3965712
5/6/15,3965039
5/7/15,3951806
5/15/15,3951650
5/21/15,3953165
5/26/15,3953290
5/28/15,3954163
5/31/15,3955275
6/10/15,3946638
6/15/15,3957975
6/17/15,3958943
6/30/15,3959106
7/5/15,3952796
7/6/15,3950859
7/9/15,3983579
7/15/15,3985202
7/31/15,3985374
8/13/15,3986345
8/15/15,3985083
8/16/15,3985208
8/23/15,3984229
8/25/15,4059161
8/29/15,4058234
9/6/15,4058255
9/13/15,4057385
9/17/15,4057006
9/28/15,4055839
9/30/15,4020236
10/2/15,4153527
10/4/15,4152815
10/15/15,4151039
10/19/15,4152491
10/27/15,4152033
10/31/15,4148994
11/2/15,4150143
11/3/15,4259146
11/15/15,4258779
11/17/15,4261647
11/28/15,4261393
11/30/15,4251849
12/2/15,4250967
12/10/15,4361574
12/17/15,4362278
12/31/15,4566999
1/15/16,4567347
1/19/16,4569205
1/31/16,4568733
2/15/16,4686215
2/17/16,4688750
2/29/16,4746465
3/3/16,4775413
3/15/16,4775280
3/16/16,4771616
3/31/16,4764384
4/4/16,4766977
4/11/16,4800328
4/19/16,4804563
4/30/16,4805774
5/2/16,4806496
5/5/16,4805001
5/16/16,4813247
5/19/16,4809795
5/31/16,4807787
6/1/16,4811890
6/2/16,4810472
6/16/16,4806301
6/23/16,4800825
6/30/16,4786992
7/4/16,4789208
7/20/16,4788874
7/28/16,4784816
7/31/16,4782559
8/1/16,4782663
8/11/16,4778614
8/16/16,4777609
8/25/16,4779652
8/31/16,4766951
9/3/16,4766743
9/4/16,4766743
9/18/16,4767153
9/26/16,4773828
9/30/16,4748803
10/19/16,4768844
10/23/16,4767809
10/31/16,4768141
11/3/16,4778945
11/7/16,4779413
11/30/16,4780857
12/4/16,4780428
12/8/16,4806695
12/19/16,4806966
12/22/16,4830830
12/31/16,4820620
1/5/17,4827183
1/12/17,4867520
1/19/17,4867617
1/31/17,4871543
2/1/17,4871942
2/9/17,4913607
2/16/17,4927530
2/28/17,4932379
3/9/17,4979552
3/15/17,4980382
3/23/17,4990077
3/30/17,4992597
3/31/17,4993784
4/5/17,4994799
4/6/17,4999110
4/27/17,5017697
4/30/17,5053883
5/1/17,5053929
5/18/17,5054511
5/31/17,5056261
6/1/17,5056748
6/15/17,5114060
6/19/17,5114530
6/29/17,5114530
6/30/17,5105369
7/3/17,5105698
7/6/17,5135733
7/27/17,5162751
7/31/17,5164715
8/6/17,5164183
8/20/17,5164023
8/31/17,5165566
9/6/17,5164269
9/7/17,5226094
9/14/17,5241937
9/18/17,5237394
9/28/17,5234331
9/29/17,5260925
9/30/17,5263256
10/5/17,5277125
10/12/17,5291117
10/19/17,5307122
10/31/17,5309071
11/2/17,5342607
11/5/17,5342902
11/9/17,5360482
11/16/17,5378362
11/30/17,5414965
12/5/17,5415497
12/7/17,5436587
12/14/17,5455777
12/18/17,5455092
12/21/17,5467265
12/28/17,5479134
12/31/17,5479277
1/2/18,5479998
1/25/18,5522024
1/31/18,5521003
2/1/18,5540384
2/4/18,5542388
2/8/18,5563276
2/15/18,5580725
2/22/18,5588160
2/28/18,5587191
3/31/18,5587481
3/1/18,5596713
3/8/18,5603259
3/13/18,5604694
3/15/18,5615437
3/22/18,5622648
3/29/18,5628071
3/31/18,5627792
4/5/18,5633227
4/7/18,5635911
4/12/18,5641592
4/19/18,5647525
4/26/18,5652223
4/30/18,5649708
5/10/18,5647510
5/17/18,5654695
5/24/18,5654481
5/31/18,5645219
6/7/18,5641039
6/13/18,5638122
6/21/18,5632137
6/24/18,5632642
6/28/18,5624813
6/30/18,5619545
7/5/18,5611094
7/12/18,5603927
7/19/18,5598594
7/26/18,5590844
7/29/18,5592430
7/31/18,5590896
8/2/18,5599324
8/9/18,5602367
8/16/18,5605347
8/29/18,5609377
8/31/18,5609671
9/4/18,5611991
9/6/18,5615152
9/13/18,5618950
9/21/18,5624607
9/24/18,5625625
9/27/18,5628364
9/30/18,5606895
9/24/18,5606972
10/4/18,5617066
10/8/18,5617777
10/9/18,5617466
10/11/18,5625452
10/18/18,5627644
10/24/18,5628303
10/25/18,5629700
10/31/18,5630901
11/1/18,5637911
11/8/18,5635806
11/12/18,5636642
11/15/18,5640348
11/22/18,5646298
11/29/18,5649973
11/30/18,5652349
12/6/18,5642972
12/9/18,5640706
12/20/18,5661144
12/27/18,5664886
12/31/18,5663473
1/13/18,5663876
1/10/19,5669630
1/13/19,5669630
1/17/19,5674132
1/24/19,5678127
1/31/19,5680272
2/7/19,5684148
2/28/19,5683147
3/7/19,5681543
3/11/19,5680230
3/14/19,5684381
3/21/19,5689127
3/31/19,5688152
4/4/19,5667284
4/9/19,5657439
4/11/19,5648002
