data_date,individuals
8/13/14,311888
8/14/14,312402
8/17/14,312685
8/18/14,312909
8/19/14,312997
8/20/14,313082
8/21/14,312663
8/25/14,313328
8/26/14,313401
8/28/14,313435
9/2/14,315354
9/3/14,316230
9/4/14,316438
9/7/14,316617
9/8/14,317000
9/9/14,316502
9/10/14,316239
9/11/14,316399
9/14/14,316269
9/18/14,317327
9/29/14,317678
10/2/14,317308
10/8/14,317268
10/9/14,317302
10/28/14,316353
10/31/14,317541
11/11/14,317907
11/15/14,412949
11/20/14,412938
11/30/14,414497
12/7/14,415387
12/15/14,415638
12/21/14,415638
12/23/14,415638
12/28/14,415638
12/29/14,418002
12/30/14,417794
12/31/14,421029
1/4/15,421352
1/5/15,421410
1/6/15,421460
1/7/15,421393
1/13/15,421329
1/14/15,421189
1/15/15,421655
1/18/15,421776
1/19/15,421784
1/20/15,421826
1/21/15,421956
1/22/15,421870
1/26/15,421967
1/31/15,422330
2/3/15,422991
2/8/15,423122
2/9/15,423281
2/10/15,423245
2/11/15,423253
2/12/15,423338
2/15/15,424372
2/16/15,424445
2/22/15,424938
2/23/15,425071
2/24/15,425185
2/25/15,425304
2/28/15,426170
3/1/15,426576
3/2/15,426599
3/4/15,426803
3/5/15,426918
3/6/15,441541
3/8/15,441873
3/10/15,441988
3/11/15,442159
3/12/15,442283
3/13/15,447133
3/15/15,446566
3/17/15,447050
3/18/15,447258
3/20/15,450988
3/22/15,451590
3/23/15,451593
3/24/15,451604
3/26/15,451818
3/31/15,455120
4/8/15,455788
4/30/15,458680
5/4/15,458680
5/5/15,457738
5/6/15,457720
5/15/15,457921
5/21/15,459436
5/28/15,459841
5/31/15,460230
6/15/15,460353
6/17/15,460878
6/30/15,461112
7/15/15,461669
7/31/15,461742
8/13/15,462566
8/15/15,462527
8/16/15,462669
8/23/15,462671
8/29/15,462748
9/6/15,463350
9/13/15,463217
9/17/15,463687
9/28/15,463548
10/4/15,464637
10/15/15,464972
10/19/15,465748
10/27/15,465573
11/2/15,466445
11/3/15,464975
11/15/15,465439
11/17/15,466317
11/28/15,466795
12/2/15,467447
12/10/15,473074
12/17/15,473492
12/31/15,473616
1/15/16,473928
1/19/16,475357
2/15/16,475641
2/17/16,477524
2/29/16,488538
3/3/16,489658
3/15/16,489626
3/16/16,490837
3/31/16,490876
4/4/16,492990
4/11/16,489538
4/19/16,493188
4/30/16,493089
5/2/16,489682
5/5/16,486878
5/16/16,494308
5/19/16,491933
5/31/16,492192
6/1/16,495935
6/2/16,494086
6/16/16,491854
6/23/16,490371
6/30/16,490688
7/4/16,494804
7/20/16,494947
7/28/16,492097
8/1/16,492064
8/11/16,493361
8/16/16,493104
8/25/16,492385
8/31/16,493113
9/3/16,492879
9/18/16,493632
9/26/16,494410
9/30/16,483748
10/19/16,483860
10/23/16,483708
10/31/16,484933
11/3/16,485208
11/7/16,485122
11/30/16,485550
12/4/16,485054
12/8/16,488003
12/19/16,488214
12/22/16,488657
12/31/16,484740
1/5/17,489009
1/12/17,490744
1/19/17,490687
1/31/17,491786
2/1/17,491796
2/9/17,491554
2/16/17,490621
2/28/17,491394
3/9/17,489267
3/15/17,489304
3/23/17,487837
3/30/17,487532
3/31/17,486331
4/5/17,486385
4/6/17,486019
4/27/17,480282
4/30/17,481253
5/1/17,481254
5/18/17,481199
5/31/17,481765
6/1/17,481796
6/15/17,479280
6/19/17,479320
6/30/17,479911
7/3/17,479845
7/6/17,477734
7/27/17,468233
7/31/17,465335
8/6/17,464910
8/20/17,464580
8/31/17,465372
9/6/17,465399
9/7/17,464606
9/18/17,464653
9/28/17,461590
9/29/17,459491
10/5/17,460292
10/12/17,459306
10/19/17,458792
10/31/17,459506
11/2/17,457621
11/5/17,456666
11/9/17,457429
11/16/17,458346
11/30/17,458151
12/5/17,458203
12/7/17,459078
12/14/17,459028
12/18/17,459119
12/21/17,459134
12/28/17,458896
